O_REL,O_RF,O_NPC,O_PFC,O_WCC,O_UC,D_REL,D_RF,D_NPC,D_PFC,D_WCC,D_UC,Ch_REL,Ch_RF,Ch_NPC,Ch_PFC,Ch_WCC,CH_UC,P_REL,P_RF,P_NPC,P_PFC,P_WCC,P_UC
0.999,0.000222,46.958774,0.246827,0,0.851791,0.977,0.018133,53.018139,0.110085,0,0.261484,1,0.304244,3.252318,0.093123,0.468078,0.530682,1,0.382867,47.195959,0.353272,1.620131,1.008464
1,0,25.371025,0.138764,0,0.655806,0.993,0.000133,73.978022,0.157537,0.010768,0.525306,1,0,66.245374,1.130656,0,16.052231,1,0,57.672634,0.69304,0.007436,2.010721
1,0,60.326739,0.307454,0,1.733173,0.984,0.000044,123.07921,0.113808,0,0.996114,1,0.0424,32.203087,0.604426,0,53.087897,0.999,0.044511,55.550371,0.602394,0.017911,69.584065
1,0,50.757312,0.243898,0,52.19513,0.993,0,125.383416,0.185755,0.074619,170.845651,1,0.054,16.144156,0.350779,0,20.341822,1,0.128133,25.920225,0.25387,0.265141,10.930174
1,0,60.88495,0.297654,0,1.767637,0.986,0.0028,133.122728,0.185365,0,1.091537,1,0.038756,32.461191,0.564732,0,12.814896,1,0.03,52.932109,0.589831,0.001361,219.172979
1,0,31.958226,0.173749,0,38.467893,0.998,0.004133,163.353481,0.208597,0,1.700668,1,0.021644,45.046448,0.811969,0,104.666438,1,0.034289,29.585359,0.38386,0.057603,24.276061
0.999,0.000022,32.8438,0.150235,0,1.002969,0.982,0.003667,74.465696,0.130202,0,5.762559,1,0.092044,58.620686,1.047967,0,27.877337,1,0.059933,69.967211,0.797641,0.217608,4.513854
1,0,40.08124,0.180175,0,41.043504,0.992,0.015956,93.934471,0.128593,0,94.501986,1,0.026244,42.481734,0.799736,0,77.673068,1,0.035222,95.650759,1.053016,0.033219,194.457898
0.997,0,33.250752,0.141916,0,0.733831,0.947,0,102.611138,0.144065,0,0.634766,1,0,133.54033,2.385106,0,27.567134,0.968,0,29.977945,0.415971,0.009941,110.468011
1,0,38.272904,0.168044,0,0.91827,0.994,0.004333,115.587991,0.165712,0,0.758705,1,0,42.560586,0.814108,0,30.161992,1,0,65.704908,0.666899,0,8.171839
1,0,16.923583,0.172572,0,0.416388,0.969,0.000733,70.833587,0.067871,0,0.481686,1,0.1018,61.887665,1.069407,0,12.941196,1,0.05,72.454559,0.689227,0.127143,218.785818
